,Unnamed: 0,Participant ID,Question ID,Comment,Label,Sentiment,Label_encoded,Sentiment_encoded,label_pred,label_2ndpred,prob_1st,prob_2nd
104,3721,80903,Unique / Unusual,"Yes, they have great people here. I feel very comfortable and honored to work here!",Inspiring Work/Place; Quality,Positive,7,2,3,7,0.8736875653266907,0.0773715078830719
106,3207,56779,Unique / Unusual,The work environment is pleasantly comfortable and made to feel inviting.  ,Inspiring Work/Place; Quality,Positive,7,2,3,7,0.677842378616333,0.2850509285926819
154,3723,83374,Unique / Unusual,great people to work for,Inspiring Work/Place; Quality,Positive,7,2,3,7,0.777622401714325,0.1380288153886795
184,4026,93220,Unique / Unusual,Everyone works together for the purpose of the residents. The team thinks outside of the box and doesn't accept the status quo.,Inspiring Work/Place; Quality,Positive,7,2,3,7,0.5848786234855652,0.38724038004875183
206,3602,75625,Unique / Unusual,The work environment is very relaxing regardless if the executives are in the office or not,Inspiring Work/Place; Quality,Positive,7,2,3,9,0.5128401517868042,0.3133584260940552
254,3667,79742,One Change,everyone to work well together and get along and focus on the residents,Inspiring Work/Place; Quality,Negative,7,0,3,7,0.4966195821762085,0.4758122563362122
298,3185,56691,Unique / Unusual,LOOK FORWARD TO COMING TO WORK. PEOPLE GENUINELY CARE ABOUT OTHERS.,Inspiring Work/Place; Quality,Positive,7,2,3,7,0.8412618637084961,0.13242003321647644
534,3823,91532,Unique / Unusual,The people here. I love to be around them I love to give them care.,Inspiring Work/Place; Quality,Positive,7,2,3,7,0.7925856709480286,0.1898225098848343
612,3627,76247,Unique / Unusual,"I feel that the strong culture here offers mutual support, promotes trust, and ensures that my work is meaningful. I like and respect the people I work with - they are supportive and foster a personal connection in addition to professional growth. I also feel challenged in that I can grow and learn new skills through the education and training made available to me.",Inspiring Work/Place; Quality,Positive,7,2,3,7,0.6147523522377014,0.2585415244102478
677,3103,56326,Unique / Unusual,"It is a small enough company that people feel like family and treat others respectively.  For example, my neighbor died and I needed to adjust my schedule at the last minute in order to be there for the family of the deceased.  Everyone was understanding and adjusted their schedules to make it work for me.  Plus they expressed concern for me.",Inspiring Work/Place; Quality,Positive,7,2,3,7,0.7942646741867065,0.16689088940620422
687,3126,56378,Unique / Unusual,I feel very comfortable here and everyone I work with is nice,Inspiring Work/Place; Quality,Positive,7,2,3,7,0.9163097739219666,0.06479958444833755
732,3371,58422,Unique / Unusual,The Randall's come in and visit which is nice to see them. It shows they care about their company. Everyone here does care about each other and mostly the residents. ,Inspiring Work/Place; Quality,Positive,7,2,3,7,0.491563230752945,0.41185399889945984
1020,3253,57029,Unique / Unusual,Everyone is so welcoming every time you turn the corner there is always a smile on someone's face. ,Inspiring Work/Place; Quality,Positive,7,2,3,7,0.9040707945823668,0.048441480845212936
1060,3170,56625,Unique / Unusual,"For me personally, working in Dining has been an overall has been a great experience. Those whom are higher up in my department always offer help and guidance when needed. ",Inspiring Work/Place; Quality,Positive,7,2,3,4,0.7464305758476257,0.09950105845928192
1067,4082,93625,Unique / Unusual,"Staff are nice .And I feel safe here.

",Inspiring Work/Place; Quality,Positive,7,2,3,7,0.923980176448822,0.0599503181874752
1242,4087,93663,Unique / Unusual,Humanity ,Inspiring Work/Place; Quality,Positive,7,2,3,7,0.8412913084030151,0.11238940805196762
1448,4007,93111,Unique / Unusual,In our facility we have coworkers that has a long history with the facility.,Inspiring Work/Place; Quality,Positive,7,2,3,7,0.8864366412162781,0.084160715341568
1548,3160,56575,One Change,I love this company and it's culture.  ,Inspiring Work/Place; Quality,Positive,7,2,3,7,0.3794603049755096,0.3762555122375488
1582,3182,56676,Unique / Unusual,I am pleased to have worked here for 5 years.  We have a sense of family on our campus.  Majority of the staff is willing to help others out if needed.  ,Inspiring Work/Place; Quality,Positive,7,2,3,7,0.9192290902137756,0.06598835438489914
1686,3198,56736,Unique / Unusual,"There are co-workers who do their best to make this place feel like home for clients and fellow co-workers. Often in this field, constant encouragement and attention to detail is important on all levels of managements.  Its very uplifting to see co-workers come together for a common goal.  Management is very supportive in most times of need.  In general, most people that walk through the doors are here to make a positive impact in each other's lives. I am very appreciative of all I have learned and the ways I have been helpful to those around me.  I would absolutely recommend this company to anyone who has a passion for helping people. ",Inspiring Work/Place; Quality,Positive,7,2,3,9,0.7144595384597778,0.1278940886259079
